"","Management","Area","Order","Family","Genus","Species","Model","Meeting_or_reference","Case","Notes","Stock","age.min","age.max","G.short","G.Species","Manage.short","LME","Area.broad","Area.long","Area.narrow","Stock.short","Stock.no.species"
"NEFSC-GARMIII_5Y_Melanogrammus_Aeglefinus","NEFSC-GARMIII","5Y","Gadiformes","Gadidae","Melanogrammus","aeglefinus","ASAP (statistical catch at age)","",NA,"Total (all sources of removals) catch-at-age (numbers 000s of fish) of Gulf of Maine haddock from 1977 to 2013 with an age 9+ group assuming 50% mortality of recreational releases. This formulation is used as the ‘base’ case. *Only ages 1 through the 9+group are used as assessment model inputs","NEFSC-GARMIII_5Y_Melanogrammus_Aeglefinus",1,9,"M.","M. aeglefinus","NEFSC","NW Atlantic","NAFO 5-6","NAFO 5-6","GOM","NAFO 5-6 GOM M. aeglefinus","NAFO 5-6 GOM"
"NEFSC-GARMIII_GB_Gadus_morhua","NEFSC-GARMIII","GB","Gadiformes","Gadidae","Gadus","morhua","VPA and ADAPT","",NA,"Landings in thousands Catch.10 is 10+","NEFSC-GARMIII_GB_Gadus_morhua",1,10,"G.","G. morhua","NEFSC","NW Atlantic","NAFO 5-6","NAFO 5-6","GB","NAFO 5-6 GB G. morhua","NAFO 5-6 GB"
"NEFSC-GARMIII_GOM- GB_Urophycis_tenuis","NEFSC-GARMIII","GOM- GB","Gadiformes","Phycidae","Urophycis","tenuis","ASPM assessment model was tested but not accepted. Accepted model is ASAP (statistical catch-at-age)","",NA,"Catch includes discards. Catch.10 is 10+","NEFSC-GARMIII_GOM- GB_Urophycis_tenuis",1,9,"U.","U. tenuis","NEFSC","NW Atlantic","NAFO 5-6","NAFO 5-6","","NAFO 5-6  U. tenuis","NAFO 5-6 "
"NEFSC-GARMIII_GOM-CHATT_Morone_saxatilis","NEFSC-GARMIII","GOM-CHATT","Perciformes","Moronidae","Morone","saxatilis","SCA","",NA,"FK replaced catch data (table B6.5 landings only) with total removals (table B6.22 incl. discards and recreational). In numbers. ","NEFSC-GARMIII_GOM-CHATT_Morone_saxatilis",1,13,"M.","M. saxatilis","NEFSC","NW Atlantic","NAFO 5-6","NAFO 5-6","","NAFO 5-6  M. saxatilis","NAFO 5-6 "
"NEFSC-GARMIII_MA_Paralichthys_dentatus","NEFSC-GARMIII","MA","Pleuronectiformes","Paralichthyidae","Paralichthys","dentatus","ASAP (statistical catch at age)","Legault and Restrepo 1998",NA,"Total catch at age of summer flounder (000s) ME-NC. Includes all sources of catch.","NEFSC-GARMIII_MA_Paralichthys_dentatus",0,7,"P.","P. dentatus","NEFSC","NW Atlantic","NAFO 5-6","NAFO 5-6","","NAFO 5-6  P. dentatus","NAFO 5-6 "
"NEFSC-GARMIII_SNE- MA_Limanda_ferruginea","NEFSC-GARMIII","SNE- MA","Pleuronectiformes","Pleuronectidae","Limanda","ferruginea","ASAP model Run26","",NA,"FK changed catch to include discards (was table B18 now table B32). Southern New England Mid-Atlantic yellowtail flounder total catch at age (landings + discards) in thousands of fish. Catch. 6 is 6+","NEFSC-GARMIII_SNE- MA_Limanda_ferruginea",1,6,"L.","L. ferruginea","NEFSC","NW Atlantic","NAFO 5-6","NAFO 5-6","","NAFO 5-6  L. ferruginea","NAFO 5-6 "
"NEFSC-SAW_GOM_Gadus_morhua","NEFSC-SAW","GOM","Gadiformes","Gadidae","Gadus","morhua","ASAP (statistical catch at age)","Age Structured Assessment Program v2.0.20 Legault and Restrepo 1998 Legault 2008",NA,"Total catch-at-age (numbers 000s of fish) of Gulf of Maine Atlantic cod from 1982 to 2011 with an age 9+ group. Only ages 1 through the 9+group are used as assessment model inputs. Includes recreational discards commercial.","NEFSC-SAW_GOM_Gadus_morhua",1,9,"G.","G. morhua","NEFSC","NW Atlantic","NAFO 5-6","NAFO 5-6","GOM","NAFO 5-6 GOM G. morhua","NAFO 5-6 GOM"
"NEFSC-SAW_USATL_Stenotomus_Chrysops","NEFSC-SAW","USATL","Perciformes","Sparidae","Stenotomus","Chrysops","ASAP (statistical catch at age)","",NA,"Total fishery scup catch (000s) at age. Recreational commercial discards","NEFSC-SAW_USATL_Stenotomus_Chrysops",0,7,"S.","S. Chrysops","NEFSC","NW Atlantic","NAFO 5-6","NAFO 5-6","","NAFO 5-6  S. Chrysops","NAFO 5-6 "
"NEFSC_5YZ_ Hippoglossoides_platessoides","NEFSC","5YZ","Pleuronectiformes","Pleuronectidae","Hippoglossoides","platessoides","ADAPT","",NA,"Total catch (thousands of fish) at age of American plaice from the Gulf of Maine. Includes all sources of removals","NEFSC_5YZ_ Hippoglossoides_platessoides",1,11,"H.","H. platessoides","NEFSC","NW Atlantic","NAFO 5-6","NAFO 5-6","","NAFO 5-6  H. platessoides","NAFO 5-6 "
"NEFSC_5YZ_Pollachius _virens","NEFSC","5YZ","Gadiformes","Gadidae","Pollachius ","virens","ASAP (statistical catch at age)","",NA,"Unable to find source of catch data possibly calculated? Likely includes all sources of removals though","NEFSC_5YZ_Pollachius _virens",1,9,"P.","P. virens","NEFSC","NW Atlantic","NAFO 5-6","NAFO 5-6","","NAFO 5-6  P. virens","NAFO 5-6 "
"NEFSC_5Z_Pseudopleuronectes_americanus","NEFSC","5Z","Pleuronectiformes","Pleuronectidae","Pseudopleuronectes","americanus","VPA and ADAPT","Gavaris 1988 Gavaris and Van Eeckhoute 1998",NA,"Catch.7 is 7+. In thousands. Age 0 excluded from VPA. Includes discards.","NEFSC_5Z_Pseudopleuronectes_americanus",1,7,"P.","P. americanus","NEFSC","NW Atlantic","NAFO 5-6","NAFO 5-6","","NAFO 5-6  P. americanus","NAFO 5-6 "
"NEFSC_NWA_Scomber _scombrus","NEFSC","NWA","Scombriformes","Scombridae","Scomber ","scombrus","ASAP. CCAM and SAM also tested","Legault and Restrepo 1998",NA,"Total (U.S. and Canada combined) catch-at-age (thousands of fish) of Atlantic mackerel from 1968 -2016. Catch includes all sources.","NEFSC_NWA_Scomber _scombrus",1,10,"S.","S. scombrus","NEFSC","NW Atlantic","NAFO 5-6","NAFO 5-6","","NAFO 5-6  S. scombrus","NAFO 5-6 "
